features_kept,cv,cluster_performances,mean_centroid_distance
1,0.08405368120416361,"[0.7942546583850931, 0.9016064257028112, 0.9887640449438202, 0.833011583011583]",3.1993195686220015
2,0.07494577214878201,"[0.796137339055794, 0.9395161290322581, 0.8379373848987108, 0.9514925373134329]",7.106506615831109
3,0.07722464588679863,"[0.8637037037037038, 0.8060959792477302, 0.8102345415778252, 0.9713375796178344]",9.918897727832022
4,0.07491474078205944,"[0.8028909329829172, 0.963855421686747, 0.8614609571788413, 0.8096590909090909]",12.10636796071161
5,0.07521775422292683,"[0.8103448275862069, 0.9647058823529412, 0.8029689608636977, 0.8566265060240964]",13.691687161171208
6,0.07639646288385453,"[0.8566084788029925, 0.8085714285714286, 0.9671641791044776, 0.8043621943159286]",15.10365405555061
7,0.07419039118100529,"[0.8540145985401459, 0.8126801152737753, 0.8045515394912985, 0.9643916913946587]",16.19015225487343
8,0.07529602667649839,"[0.9674556213017751, 0.815028901734104, 0.8040268456375839, 0.8523002421307506]",17.030470405330423
9,0.07501659017422448,"[0.8509615384615384, 0.8173913043478261, 0.803776129467296, 0.9676470588235294]",17.829001552519827
10,0.07684905581112701,"[0.8537455410225921, 0.8173913043478261, 0.8013559322033899, 0.9705014749262537]",18.538133455830327
11,0.07668962814782063,"[0.8016249153689912, 0.8532219570405728, 0.9705014749262537, 0.8179190751445087]",19.181960735385644
12,0.07657847412658338,"[0.8522458628841607, 0.8186968838526912, 0.801641586867305, 0.9705014749262537]",19.76033897646666
13,0.07641829818853677,"[0.8533969010727056, 0.801490514905149, 0.8189655172413793, 0.9703264094955489]",20.29379255708592
14,0.0766185113376514,"[0.9701492537313433, 0.8538922155688623, 0.8021607022282242, 0.8166189111747851]",20.800516606076158
15,0.07675752421084106,"[0.8556085918854416, 0.96996996996997, 0.8014854827819041, 0.8160919540229885]",21.221673013971174
16,0.07637728894469593,"[0.8171428571428572, 0.8013513513513514, 0.8561236623067776, 0.9696048632218845]",21.634396475975095
17,0.07616155822197739,"[0.8016194331983806, 0.8176638176638177, 0.8557806912991657, 0.9695121951219512]",21.976036470881482
18,0.07598439695958856,"[0.8014804845222072, 0.8559523809523809, 0.9694189602446484, 0.8184438040345822]",22.307923069082744
19,0.07595399482862489,"[0.8557806912991657, 0.9694189602446484, 0.8184438040345822, 0.8016139878950908]",22.6285434504103
20,0.0757151169972609,"[0.8557806912991657, 0.8006734006734006, 0.9696048632218845, 0.8213256484149856]",22.913508142672768
21,0.07576535070545955,"[0.8561151079136691, 0.8008048289738431, 0.9696048632218845, 0.8208092485549133]",23.191597302618526
22,0.07608154191017101,"[0.8192419825072886, 0.8514619883040936, 0.9700598802395209, 0.8024523160762943]",23.44648317151147
23,0.07597122402218717,"[0.8002672010688042, 0.8192419825072886, 0.858682634730539, 0.9692307692307692]",23.690483836993884
24,0.07589181225421181,"[0.9693251533742331, 0.8557919621749409, 0.8187134502923976, 0.8014804845222072]",23.916809356164453
25,0.07590868176318026,"[0.8013422818791947, 0.8562945368171021, 0.8187134502923976, 0.9693251533742331]",24.1385552318448
26,0.0758918122542118,"[0.8014804845222072, 0.8187134502923976, 0.8557919621749409, 0.9693251533742331]",24.353699712490968
27,0.07596611576239756,"[0.9695121951219512, 0.8552941176470589, 0.8012170385395537, 0.8192419825072886]",24.546425836442246
28,0.0757222073043452,"[0.8021607022282242, 0.9694189602446484, 0.8192419825072886, 0.8539458186101295]",24.74150955498655
29,0.07571936759493401,"[0.9692307692307692, 0.8187134502923976, 0.8021607022282242, 0.8544600938967136]",24.933081252198914
30,0.07564650634740804,"[0.8544600938967136, 0.802027027027027, 0.8192419825072886, 0.9692307692307692]",25.10821612286206
31,0.0756330362641279,"[0.8187134502923976, 0.8539458186101295, 0.8025606469002695, 0.9692307692307692]",25.272522259487964
32,0.07538327929603335,"[0.9690402476780186, 0.8534583821805393, 0.8192419825072886, 0.8028359216745442]",25.428352004649444
33,0.07526220388795515,"[0.8522860492379836, 0.8035111411208643, 0.8192419825072886, 0.9690402476780186]",25.577090166135367
34,0.07541726980575947,"[0.8522860492379836, 0.9691358024691358, 0.8035111411208643, 0.8187134502923976]",25.723837151557717
35,0.07544529660983977,"[0.968944099378882, 0.8187134502923976, 0.8026936026936027, 0.854289071680376]",25.864501609378244
36,0.07534757860596251,"[0.968944099378882, 0.8032345013477089, 0.8187134502923976, 0.8532863849765259]",26.00360293869766
37,0.07555174689856746,"[0.8026936026936027, 0.8187134502923976, 0.8539458186101295, 0.9691358024691358]",26.134222287395236
38,0.07545240454625188,"[0.8192419825072886, 0.8033783783783783, 0.9693251533742331, 0.8519388954171563]",26.262260344899715
39,0.07703313881872872,"[0.9723926380368099, 0.851764705882353, 0.8192419825072886, 0.8028359216745442]",26.382365694559976
40,0.07694962367217979,"[0.8033783783783783, 0.9723926380368099, 0.8192419825072886, 0.8507638072855465]",26.503482861695296
41,0.07694962367217979,"[0.9723926380368099, 0.8192419825072886, 0.8033783783783783, 0.8507638072855465]",26.614427671426473
42,0.07697438665270707,"[0.8032454361054767, 0.9723926380368099, 0.8192419825072886, 0.8509389671361502]",26.721490594127246
43,0.07712159647907635,"[0.8022941970310391, 0.9723926380368099, 0.8527679623085983, 0.8192419825072886]",26.828425985591732
44,0.07699033575015082,"[0.854289071680376, 0.8192419825072886, 0.8018867924528302, 0.9720496894409938]",26.929790576323562
45,0.07704228998291464,"[0.8554641598119859, 0.8013468013468014, 0.9719626168224299, 0.8192419825072886]",27.025462840528718
46,0.0770908753810502,"[0.8192419825072886, 0.9720496894409938, 0.8013468013468014, 0.8552941176470589]",27.12223333750389
47,0.07706138936672453,"[0.8192419825072886, 0.8551236749116607, 0.8014804845222072, 0.9720496894409938]",27.21544093424859
48,0.07699033575015082,"[0.8192419825072886, 0.8018867924528302, 0.9720496894409938, 0.854289071680376]",27.30820597398268
49,0.07716346539429747,"[0.9720496894409938, 0.8187134502923976, 0.8552941176470589, 0.8014804845222072]",27.401205646838303
50,0.07558015576922814,"[0.9691358024691358, 0.8541176470588235, 0.8025606469002695, 0.8187134502923976]",27.49000801109611
51,0.07711245670489211,"[0.802020202020202, 0.8541176470588235, 0.9721362229102167, 0.8187134502923976]",27.577627584643967
52,0.07713411527503104,"[0.8187134502923976, 0.9720496894409938, 0.8551236749116607, 0.8016139878950908]",27.660214937387842
53,0.07576072946250514,"[0.8176470588235294, 0.8026936026936027, 0.9691358024691358, 0.854289071680376]",27.739961439731005
54,0.07578194594717579,"[0.8176470588235294, 0.8552941176470589, 0.8022864828513786, 0.9690402476780186]",27.817728740796852
55,0.0773140621721129,"[0.801747311827957, 0.8176470588235294, 0.8552941176470589, 0.9720496894409938]",27.89456811819072
56,0.07573232333595721,"[0.9691358024691358, 0.8028263795423957, 0.8176470588235294, 0.8541176470588235]",27.969324027149543
57,0.07726347624918191,"[0.8176470588235294, 0.8022864828513786, 0.8541176470588235, 0.9721362229102167]",28.04507402242583
58,0.07576072946250514,"[0.8176470588235294, 0.8026936026936027, 0.9691358024691358, 0.854289071680376]",28.119542814703514
59,0.0773140621721129,"[0.8176470588235294, 0.8552941176470589, 0.801747311827957, 0.9720496894409938]",28.18955998650675
60,0.0773140621721129,"[0.8552941176470589, 0.8176470588235294, 0.801747311827957, 0.9720496894409938]",28.258848009111475
61,0.07731406217211288,"[0.8176470588235294, 0.9720496894409938, 0.801747311827957, 0.8552941176470589]",28.32557556092878
