features_kept,cv,cluster_performances,mean_centroid_distance
1,0.08499657406662202,"[0.7932203389830509, 0.8856209150326797, 0.8318965517241379, 0.9911504424778761]",3.223090246001153
2,0.08293786453601089,"[0.8543307086614174, 0.7837582625118036, 0.8945578231292517, 0.9856115107913669]",7.13104182186423
3,0.07435449027240643,"[0.8470588235294118, 0.846875, 0.97, 0.795260663507109]",9.87544079192507
4,0.07342755245406224,"[0.7876344086021505, 0.9665071770334929, 0.854875283446712, 0.8803418803418803]",12.100933577042882
5,0.06915397137222652,"[0.8782608695652174, 0.954954954954955, 0.8410852713178295, 0.7906976744186046]",13.655259700965791
6,0.06921080373281198,"[0.8805309734513275, 0.9539170506912442, 0.8471698113207548, 0.7877312560856865]",15.055263091493888
7,0.07035692415513756,"[0.8491620111731844, 0.9547511312217195, 0.8810572687224669, 0.7852216748768472]",16.18524016351318
8,0.07220571932926045,"[0.7882117882117882, 0.84, 0.8810572687224669, 0.9594594594594594]",17.024249270475682
9,0.07597259348222239,"[0.8766519823788547, 0.8416206261510129, 0.9683257918552036, 0.7869177403369673]",17.813330992518267
10,0.07161832335031164,"[0.8424908424908425, 0.7886340977068793, 0.9598214285714286, 0.8722466960352423]",18.53008190215387
11,0.07157094614529243,"[0.8406593406593407, 0.9598214285714286, 0.8728070175438597, 0.7894211576846307]",19.176199568080065
12,0.07188492796005738,"[0.9596412556053812, 0.8406593406593407, 0.7886340977068793, 0.8771929824561403]",19.76179362202543
13,0.07312510322096416,"[0.8378870673952641, 0.9631336405529954, 0.790258449304175, 0.8771929824561403]",20.310106597480484
14,0.0731867946425061,"[0.8394160583941606, 0.7894736842105263, 0.8771929824561403, 0.9631336405529954]",20.81894189807029
15,0.0752752124073512,"[0.8771929824561403, 0.8372093023255814, 0.9674418604651163, 0.7895791583166333]",21.241985051576012
16,0.07535575251309942,"[0.7887323943661971, 0.9674418604651163, 0.8386524822695035, 0.8766519823788547]",21.640650623776704
17,0.07514210727432628,"[0.789738430583501, 0.9675925925925926, 0.8377896613190731, 0.8733624454148472]",21.978623491576155
18,0.07553692503281241,"[0.8777292576419214, 0.8375, 0.7889447236180904, 0.9675925925925926]",22.316566878649542
19,0.07797441887103781,"[0.9722222222222222, 0.7870837537840565, 0.8386524822695035, 0.8777292576419214]",22.627833654664194
20,0.07796584028721609,"[0.8782608695652174, 0.9720930232558139, 0.7868686868686868, 0.8389380530973451]",22.922877103994377
21,0.07784126021737886,"[0.8777292576419214, 0.9720930232558139, 0.8386524822695035, 0.7872983870967742]",23.203146256626987
22,0.07771281709215232,"[0.8402154398563735, 0.9720930232558139, 0.787, 0.8771929824561403]",23.45849954654632
23,0.07749349272390575,"[0.8411552346570397, 0.9719626168224299, 0.8766519823788547, 0.7870646766169154]",23.70986951933467
24,0.07781209093925295,"[0.9722222222222222, 0.8389982110912343, 0.8771929824561403, 0.7873620862587764]",23.94340774723488
25,0.07765550782276912,"[0.7867867867867868, 0.9719626168224299, 0.8771929824561403, 0.8407871198568873]",24.169307643768747
26,0.07761841467984065,"[0.9719626168224299, 0.8771929824561403, 0.7873620862587764, 0.839572192513369]",24.37263381728918
27,0.07765550782276912,"[0.9719626168224299, 0.7867867867867868, 0.8407871198568873, 0.8771929824561403]",24.57338231745654
28,0.0776000027604619,"[0.8413547237076648, 0.8771929824561403, 0.7865731462925851, 0.971830985915493]",24.76990345774786
29,0.07771281709215232,"[0.9720930232558139, 0.8771929824561403, 0.8402154398563735, 0.787]",24.958556124460305
30,0.07740650078999627,"[0.840867992766727, 0.7872763419483101, 0.971830985915493, 0.8771929824561403]",25.1347394426564
31,0.07743450066821446,"[0.9716981132075472, 0.7868525896414342, 0.8777292576419214, 0.8414414414414414]",25.29667286922199
32,0.07748307265543071,"[0.7868525896414342, 0.971830985915493, 0.8771929824561403, 0.8414414414414414]",25.456717812371707
