,cv,num_pc,cluster_accuracy,cluster_distance
0,0.17435595774162696,1,"[0.8333333333333334, 0.6666666666666666, 0.5, 0.6]","(19.561191936790404, 16.236254332061694, 9.843821372329744)"
1,0.26229754097208,2,"[0.6, 0.8333333333333334, 0.5555555555555556, 0.6]","(19.56119329311236, 16.317629275485146, 9.947690221336671)"
2,0.17435595774162696,3,"[0.5, 0.6, 0.6666666666666666, 0.8333333333333334]","(19.574590062163544, 16.337299991987194, 9.95180924771658)"
3,0.17435595774162696,5,"[0.5, 0.6666666666666666, 0.8333333333333334, 0.6]","(19.08425602534788, 17.20806568075463, 10.574931884723958)"
4,0.36441734316577196,10,"[0.6, 0.7, 0.8333333333333334, 0.25]","(19.599884209565378, 17.085443306242265, 11.029788362608219)"
5,0.41376321731154403,15,"[0.8571428571428571, 0.6, 0.6, 0.3333333333333333]","(19.603999113164775, 17.185189139660846, 11.171265811395658)"
6,0.36441734316577196,20,"[0.5, 0.6, 0.8333333333333334, 0.6]","(19.749899087729062, 17.247208651409892, 11.25313433173916)"
7,0.26229754097208,30,"[0.6, 0.4, 0.8333333333333334, 0.6666666666666666]","(19.727343344197443, 17.310400028788393, 11.373564225464788)"
8,0.5585696017507576,50,"[1.0, 0.5833333333333334, 0.8333333333333334, 0.25]","(19.28166628368642, 17.48455116183913, 12.865404471695463)"
9,0.132664991614216,70,"[0.6, 0.5714285714285714, 0.8333333333333334, 0.5714285714285714]","(18.868334065062232, 17.800202894041078, 10.278588303290684)"
