features_kept,cv,cluster_performances,mean_centroid_distance
1,0.1955703915756788,"[0.6521739130434783, 1.0, 0.6263736263736264, 0.7428571428571429]",3.3655409022803244
2,0.25189598760975385,"[0.6272727272727273, 0.5128205128205128, 0.8292682926829268, 1.0]",7.015367530254962
3,0.23000852627667026,"[0.7666666666666667, 0.5490196078431373, 0.6372549019607843, 1.0]",9.5431102297024
4,0.2330413830471044,"[1.0, 0.6442307692307693, 0.5454545454545454, 0.7142857142857143]",11.803188799236931
5,0.22948744712398322,"[0.7741935483870968, 0.5531914893617021, 1.0, 0.6320754716981132]",13.481811634976202
6,0.23870305323689248,"[0.6330275229357798, 0.8, 1.0, 0.5333333333333333]",14.925654367324526
7,0.23153149470293372,"[0.8, 1.0, 0.6261682242990654, 0.5531914893617021]",16.114909033796447
8,0.2387030532368925,"[0.5333333333333333, 1.0, 0.6330275229357798, 0.8]",17.08613235142761
9,0.23091319623346404,"[1.0, 0.7741935483870968, 0.6336633663366337, 0.5490196078431373]",17.87170082324118
10,0.23742304933852382,"[0.8064516129032258, 0.6274509803921569, 1.0, 0.54]",18.60831548500281
11,0.23001528038669802,"[0.6464646464646465, 0.7142857142857143, 0.5510204081632653, 1.0]",19.2615817187422
12,0.23255415895271916,"[0.7142857142857143, 0.5416666666666666, 0.6534653465346535, 1.0]",19.864032327957176
13,0.22836255598145946,"[0.7272727272727273, 0.5531914893617021, 0.6442307692307693, 1.0]",20.390950829507293
14,0.2320134734217218,"[0.5416666666666666, 0.7272727272727273, 0.6504854368932039, 1.0]",20.912490934295207
15,0.23201347342172182,"[0.7272727272727273, 1.0, 0.6504854368932039, 0.5416666666666666]",21.34691565128172
16,0.22871460553494807,"[0.6407766990291263, 1.0, 0.75, 0.5510204081632653]",21.722717993064244
17,0.22871460553494807,"[0.5510204081632653, 1.0, 0.75, 0.6407766990291263]",22.098510450062143
18,0.23207871288728746,"[1.0, 0.75, 0.5416666666666666, 0.6442307692307693]",22.4566147231216
19,0.23207871288728746,"[0.6442307692307693, 1.0, 0.75, 0.5416666666666666]",22.77810663768172
20,0.22886488381875986,"[1.0, 0.5510204081632653, 0.7666666666666667, 0.638095238095238]",23.07816221728936
21,0.22824524302374793,"[0.5510204081632653, 0.6442307692307693, 0.7419354838709677, 1.0]",23.36029880778637
