features_kept,cv,cluster_performances,mean_centroid_distance
1,0.05825560049038559,"[29.796868133544923, 32.06013427734375, 33.024492924030014, 35.05945260184152]",0.032049369373951406
2,0.06443277304533085,"[33.38286152592412, 29.796868133544923, 35.54805074838492, 31.860433963965868]",0.035666131977314545
3,0.05997127165311647,"[29.796868133544923, 32.01508864752535, 33.24245844849753, 35.17766728291985]",0.0377192694269877
4,0.06245229844735494,"[31.981318410908642, 29.796868133544923, 35.44666507427509, 33.058498590642756]",0.038785081630222235
5,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03891364869701897
6,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.039029862493399875
7,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.03912881592458667
8,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.039169003402343854
9,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03919799531241635
10,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.039223544990363964
11,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.03924413939676862
12,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03925319312762907
13,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03926250899376851
14,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.03927000953771086
15,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03927681571775807
16,0.05997127165311647,"[33.24245844849753, 35.17766728291985, 32.01508864752535, 29.796868133544923]",0.03928270354613813
17,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.039288415403172294
18,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.039292148846735195
19,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.039295291224659044
20,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03929808218512983
21,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03929274296367736
22,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03929520073737388
23,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.039297399129535227
24,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.03929925402528671
25,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.039301153325392794
26,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.039302573314670096
27,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.0393038729788958
28,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.0393050480989548
29,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.039306065673786826
30,0.05997127165311647,"[32.01508864752535, 29.796868133544923, 35.17766728291985, 33.24245844849753]",0.03930718314194734
31,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.03930809807412082
32,0.05997127165311647,"[33.24245844849753, 29.796868133544923, 32.01508864752535, 35.17766728291985]",0.03930530621955542
