,cv,num_pc,cluster_accuracy,cluster_distance
0,0.06295901752068199,1,[0.86519738 0.85869605 0.85731018 0.8575242 ],[15.24658765 16.42612011]
1,0.09389296483333244,2,[0.86211906 0.87324509 0.85391781 0.85576403],[14.88065692 16.53632843]
2,0.5298324864378912,3,[0.84768835 0.87447539 0.86330951 0.84028068],[11.49205082 14.05315654]
3,0.5311735601895473,5,[0.84393933 0.88616372 0.84845278 0.84884923],[11.41234451 14.04163743]
4,0.5421983377980379,10,[0.86946851 0.86182852 0.85004453 0.85122336],[11.61635936 14.19475171]
5,0.5488932598507986,15,[0.85844744 0.87768564 0.83927594 0.8598551 ],[11.61252629 14.2304611 ]
6,0.5360101479070246,20,[0.85806102 0.86631179 0.86393247 0.85425698],[11.82772224 14.32078571]
7,0.5206443838687057,30,[0.87819342 0.86999959 0.84902696 0.84605858],[11.94345625 14.42860808]
8,0.5590996446165292,50,[0.87263769 0.86611134 0.85180639 0.85483196],[11.80124716 14.26033053]
9,0.5260070722097232,80,[0.86511609 0.85842902 0.86908496 0.85176123],[12.01500894 14.49119754]
