,cv,num_pc,cluster_accuracy,cluster_distance
0,0.3464101615137755,1,"[0.6, 0.4, 0.5, 1.0]","(20.847702871029956, 15.993786833638861, 10.189419310726668)"
1,0.36441734316577196,2,"[1.0, 0.5, 0.5, 0.5]","(20.850410882398627, 16.21073894886557, 10.598077389963882)"
2,0.4436214602563767,3,"[1.0, 0.5454545454545454, 0.4, 0.6]","(19.84395151640103, 16.851364470608058, 11.051198151168434)"
3,0.3464101615137755,5,"[0.6, 0.4, 1.0, 0.5]","(20.077661324729323, 16.21436265970892, 11.498740129501822)"
4,0.36441734316577196,10,"[0.5, 0.5, 1.0, 0.5]","(20.899280174791148, 16.441909403671396, 11.06815611275889)"
5,0.4578209256903839,15,"[0.5, 0.5, 0.5454545454545454, 1.0]","(21.271994692556323, 17.212155570176684, 11.704584733160312)"
6,0.4578209256903839,20,"[0.5454545454545454, 1.0, 0.5, 0.5]","(21.14101429685949, 17.166663541321334, 11.797768391005173)"
7,0.4436214602563767,30,"[0.5454545454545454, 1.0, 0.4, 0.6]","(20.21016705605037, 16.884898558176793, 12.249425185533436)"
8,0.4436214602563767,50,"[1.0, 0.4, 0.5454545454545454, 0.6]","(20.03336508332928, 17.21886141035348, 12.147003180256492)"
9,0.4436214602563767,70,"[1.0, 0.5454545454545454, 0.4, 0.6]","(20.24186328854003, 17.07939878781322, 12.363676135146838)"
