,cv,num_pc,cluster_accuracy,cluster_distance
0,0.8293765299683319,1,"[17.40933296287453, 19.335230650100034, 21.14976237903942, 21.90959628961854]","(40.32783595131017, 30.307063789053103, 10.773147688342238)"
1,0.7843203544116496,2,"[19.811993484702437, 20.815991834493783, 21.14976237903942, 17.055715288989656]","(40.14434780839567, 29.88801390498076, 10.738788203991966)"
2,0.8765907182184216,3,"[25.991861307621, 19.563179753150468, 16.614391982806886, 21.14976237903942]","(42.08700517737993, 31.540589088488247, 11.842113992050344)"
3,0.8773540953969743,5,"[16.62135316151141, 19.54831937561788, 26.064490568637847, 21.14976237903942]","(42.18411066372397, 31.56341247217278, 11.863882728297744)"
4,0.8819227349543911,10,"[21.840958239985447, 19.536737914155857, 16.6390370080451, 25.826019537448882]","(43.69148903816398, 32.58430151106869, 11.87639272844326)"
5,0.8471126338675791,15,"[19.678205803075194, 24.66494674896926, 21.840958239985447, 16.6811540849138]","(42.90391064930384, 32.01759985521815, 11.430911933531588)"
6,0.8496695808966963,20,"[19.67866146166098, 16.656517938701455, 21.840958239985447, 24.66494674896926]","(42.906272561327924, 32.01232087815734, 11.44520070588681)"
7,0.8435641604870225,30,"[19.610830065195497, 24.259248992671136, 16.817240193634337, 21.840958239985447]","(42.887448929719895, 31.998452676247556, 11.40686629843871)"
8,0.8516312392446621,50,"[19.69734708905678, 24.66494674896926, 21.840958239985447, 16.60900808816933]","(42.94075719485431, 32.04152038342903, 11.44631208654743)"
9,0.8455070910200196,70,"[16.807688076661364, 21.840958239985447, 19.610830065195497, 24.47822495566474]","(42.931241879356925, 32.03773616378181, 11.42702240956912)"
