,cv,num_pc,cluster_accuracy,cluster_distance
0,0.1599702859923982,1,[0.86435883 0.87228589 0.86100741 0.85418292],[13.1415037  17.33476596]
1,0.21233890966249125,2,[0.86110999 0.85903497 0.86554785 0.8643764 ],[13.13408303 17.56077094]
2,0.16837075861719364,3,[0.86426766 0.86563739 0.85668027 0.85910395],[12.66593631 17.32152495]
3,0.30030641173647277,5,[0.87509771 0.86404661 0.87682318 0.87277715],[12.14033759 18.39099464]
4,0.27301602001113695,10,[0.86864834 0.86799675 0.86753467 0.86955267],[12.23810214 18.26578647]
5,0.20653574228458915,15,[0.8591524  0.8632273  0.86299146 0.85775219],[12.73789318 17.85043305]
6,0.20536111861625336,20,[0.8589339  0.86183123 0.85860076 0.86427709],[12.6593205  17.87348542]
7,0.19615769671477232,30,[0.8588649  0.86063608 0.85352715 0.86657312],[12.37156774 18.1450484 ]
8,0.19830884795592865,50,[0.86287792 0.8611714  0.86066384 0.85989135],[12.27001678 18.24827755]
9,0.20286580605324336,80,[0.86587175 0.85865683 0.85985908 0.85817533],[12.26908061 18.20930822]
