,cv,num_pc,cluster_accuracy,cluster_distance
0,0.9949259022763495,1,"[47.326361974080406, 28.435216426849365, 27.875803629557296, 26.215622995413987]","(30.799751672706822, 21.436760731644128, 12.208354661544195)"
1,0.9456581770148778,2,"[27.94778517989425, 34.591576152377655, 28.437808014625727, 27.875803629557296]","(27.725443476072847, 21.585057198219296, 12.683996556266603)"
2,0.9383093785079196,3,"[19.91361379623413, 28.541818792169746, 27.57140112982856, 83.09368562698364]","(38.49135684001826, 23.217708514100508, 13.336618078710021)"
3,0.9779779222081297,5,"[26.514597459272906, 28.23788165171212, 27.875803629557296, 51.43078875541687]","(32.685651236537126, 24.888130881183717, 13.203640619958675)"
4,0.9779779222081297,10,"[28.23788165171212, 26.514597459272906, 51.43078875541687, 27.875803629557296]","(32.75440710450063, 24.945619688821317, 13.210931559887824)"
5,0.9779779222081297,15,"[26.514597459272906, 51.43078875541687, 28.23788165171212, 27.875803629557296]","(32.80239421323387, 24.98203640679997, 13.215509477511379)"
6,0.9779779222081297,20,"[27.875803629557296, 28.23788165171212, 26.514597459272906, 51.43078875541687]","(32.47683101383626, 24.968775103615975, 13.185253225242182)"
7,0.9451055442626068,30,"[28.038293856326664, 45.867171027443625, 27.875803629557296, 26.72299900761357]","(30.67971549215388, 24.465471655313127, 12.984107965394903)"
8,0.9779779222081297,50,"[28.23788165171212, 26.514597459272906, 51.43078875541687, 27.875803629557296]","(32.69187144771343, 25.010335287241098, 13.221214485697603)"
9,0.9779779222081297,70,"[28.23788165171212, 51.43078875541687, 26.514597459272906, 27.875803629557296]","(32.51584050618538, 25.01900237393928, 13.162049025748544)"
