features_kept,cv,cluster_performances,mean_centroid_distance
1,0.09164140732803784,"[0.7727272727272727, 0.7297297297297297, 0.9230769230769231, 0.7741935483870968]",3.1941457478533737
2,0.10805793446611194,"[0.7795275590551181, 0.9333333333333333, 0.75, 0.7058823529411765]",7.023127889525064
3,0.09039762904484464,"[0.7899159663865546, 0.6818181818181818, 0.8823529411764706, 0.8]",9.82701541496361
4,0.09412957672713743,"[0.8, 0.8823529411764706, 0.7916666666666666, 0.6744186046511628]",11.958103177131841
5,0.09412957672713744,"[0.8823529411764706, 0.7916666666666666, 0.8, 0.6744186046511628]",13.598045829679922
6,0.09412957672713743,"[0.6744186046511628, 0.7916666666666666, 0.8823529411764706, 0.8]",14.95559421949024
7,0.09412957672713743,"[0.8823529411764706, 0.8, 0.6744186046511628, 0.7916666666666666]",16.272030806019018
8,0.09813438108468044,"[0.8823529411764706, 0.8, 0.7933884297520661, 0.6666666666666666]",17.240071883349433
9,0.09039762904484464,"[0.8, 0.6818181818181818, 0.8823529411764706, 0.7899159663865546]",18.07016680354943
10,0.09039762904484464,"[0.6818181818181818, 0.7899159663865546, 0.8823529411764706, 0.8]",18.81884534265518
11,0.09815329177710987,"[0.6666666666666666, 0.7966101694915254, 0.8823529411764706, 0.8]",19.442727095070367
12,0.09082294934047673,"[0.8823529411764706, 0.8095238095238095, 0.788135593220339, 0.6818181818181818]",20.016306505234613
13,0.09455452496766763,"[0.8095238095238095, 0.8823529411764706, 0.6744186046511628, 0.7899159663865546]",20.568273150969198
14,0.08804476891102538,"[0.7899159663865546, 0.875, 0.6818181818181818, 0.8095238095238095]",21.091863996211156
15,0.08804476891102538,"[0.875, 0.7899159663865546, 0.6818181818181818, 0.8095238095238095]",21.551514046528187
16,0.08804476891102538,"[0.7899159663865546, 0.6818181818181818, 0.875, 0.8095238095238095]",21.973814835509458
17,0.08804476891102536,"[0.7899159663865546, 0.8095238095238095, 0.6818181818181818, 0.875]",22.356933280552116
18,0.08804476891102536,"[0.8095238095238095, 0.7899159663865546, 0.875, 0.6818181818181818]",22.71232726236021
19,0.08804476891102538,"[0.875, 0.7899159663865546, 0.8095238095238095, 0.6818181818181818]",23.0139451068118
20,0.08804476891102535,"[0.875, 0.8095238095238095, 0.6818181818181818, 0.7899159663865546]",23.306760958849086
21,0.08755512531312594,"[0.6818181818181818, 0.7916666666666666, 0.875, 0.8]",23.602660422934022
22,0.08755512531312594,"[0.6818181818181818, 0.7916666666666666, 0.875, 0.8]",23.84646835479333
23,0.08804476891102536,"[0.8095238095238095, 0.875, 0.7899159663865546, 0.6818181818181818]",24.108565801073134
24,0.08805019452653749,"[0.875, 0.8, 0.6808510638297872, 0.7948717948717948]",24.338573920164908
25,0.08804476891102535,"[0.875, 0.8095238095238095, 0.6818181818181818, 0.7899159663865546]",24.5739369294154
26,0.08755512531312594,"[0.6818181818181818, 0.7916666666666666, 0.875, 0.8]",24.789199489759774
27,0.08804476891102536,"[0.8095238095238095, 0.7899159663865546, 0.6818181818181818, 0.875]",24.993519045044504
28,0.08804476891102536,"[0.8095238095238095, 0.7899159663865546, 0.6818181818181818, 0.875]",25.184083340489277
29,0.08804476891102538,"[0.875, 0.7899159663865546, 0.8095238095238095, 0.6818181818181818]",25.36464338854984
30,0.08804476891102538,"[0.875, 0.7899159663865546, 0.8095238095238095, 0.6818181818181818]",25.55526620424227
