,cv,num_pc,cluster_accuracy,cluster_distance
0,0.07928206627621262,1,"[0.8226600985221675, 0.7923497267759563, 0.9444444444444444, 0.9565217391304348]","(25.51863510636199, 16.10327485361113, 10.608119608904225)"
1,0.34812217273510515,2,"[0.8814229249011858, 0.7751196172248804, 0.9375, 0.9526315789473684]","(26.421860867906503, 18.43264883871934, 10.928870395491154)"
2,0.34066557257665026,3,"[0.775609756097561, 0.876984126984127, 0.9533678756476683, 0.9390243902439024]","(26.288958772578503, 18.448382911844316, 10.988697029345033)"
3,0.3582674691400219,5,"[0.875, 0.7815533980582524, 0.948051948051948, 0.9481865284974094]","(26.003525944636525, 18.529653736913154, 11.035235512838344)"
4,0.36788985910300387,10,"[0.9502762430939227, 0.935064935064935, 0.8807692307692307, 0.7850467289719626]","(26.370712649100195, 18.514184648397595, 10.983779262949454)"
5,0.36507885503853754,15,"[0.961038961038961, 0.9456521739130435, 0.7877358490566038, 0.8725868725868726]","(26.10157376361501, 18.61754110297656, 11.011628532218516)"
6,0.35937012125589907,20,"[0.9605263157894737, 0.780952380952381, 0.8740157480314961, 0.9479166666666666]","(25.98668497733616, 18.6344911085029, 11.080815250964122)"
7,0.36499705381523007,30,"[0.96, 0.7788461538461539, 0.8754863813229572, 0.9479166666666666]","(26.01531619096927, 18.665282256735512, 11.093762198560658)"
8,0.3653445825234269,50,"[0.8754863813229572, 0.7799043062200957, 0.9476439790575916, 0.96]","(26.011385675904908, 18.68691082316358, 11.089150087444668)"
9,0.3653445825234269,70,"[0.96, 0.8754863813229572, 0.9476439790575916, 0.7799043062200957]","(26.010111268942854, 18.68989884178649, 11.098888592575463)"
