,features_kept,cv,cluster_accuracy,mean_centroid_distance
0,1,3.0787620093479258,"[0.6153846153846154, 0.36363636363636365, 1.0, -1]",0.7601605975574918
1,2,0.13240164884768757,"[0.5555555555555556, 0.5714285714285714, 0.4, 0.5]",1.9428939931573086
2,3,0.21651286758102314,"[0.5714285714285714, 0.625, 0.3333333333333333, 0.5]",3.2395630718101325
3,5,0.13240164884768757,"[0.5714285714285714, 0.5555555555555556, 0.4, 0.5]",4.872348168316096
4,10,5.365176974428909,"[0.5555555555555556, 0.3333333333333333, 0.6, -1]",7.152961427502575
5,15,5.36517697442891,"[0.5555555555555556, 0.3333333333333333, -1, 0.6]",8.382623660960027
6,20,0.04681218398834806,"[0.5, 0.5, 0.5555555555555556, 0.5]",9.285326268688566
7,30,0.13240164884768757,"[0.5714285714285714, 0.5555555555555556, 0.4, 0.5]",10.490700967122665
8,50,0.04681218398834806,"[0.5, 0.5, 0.5, 0.5555555555555556]",11.767936449171948
9,70,0.04681218398834806,"[0.5, 0.5, 0.5555555555555556, 0.5]",12.334866742711647
