,cv,num_pc,cluster_accuracy,cluster_distance
0,0.21461631996374927,1,[0.86040295 0.85184737 0.86389069 0.87488373],[15.17811422 16.81683519]
1,0.18220150908121382,2,[0.85725963 0.85148339 0.85924592 0.8706556 ],[14.33327702 16.68900303]
2,0.3996067564808597,3,[0.86939097 0.85469324 0.85558389 0.874406  ],[14.40929924 17.74845627]
3,0.4079084954157017,5,[0.8650601  0.86540245 0.85269571 0.85903929],[14.27917454 17.84025206]
4,0.3953626175214133,10,[0.8760096  0.86250717 0.85428707 0.86585851],[14.08393303 17.76415615]
5,0.4004014229884671,15,[0.88369044 0.86106273 0.84786869 0.86550038],[13.93154809 17.81280703]
6,0.394410972132024,20,[0.87164745 0.85889183 0.86525537 0.86093938],[13.91771801 17.81450452]
7,0.39484771263416135,30,[0.87865047 0.8692999  0.85107397 0.85805427],[14.00240329 17.80501534]
8,0.39892053858236554,50,[0.87520221 0.85772817 0.87666359 0.84826527],[14.01175394 17.80356003]
9,0.39667405624498636,80,[0.89710719 0.85579841 0.83215214 0.87232304],[13.9697381  17.82645289]
