features_kept,cv,cluster_performances,mean_centroid_distance
1,0.32756796240052727,"[0.5365853658536586, 1.0, 0.5172413793103449, 0.5]",3.158333123311401
2,0.3048213482193535,"[0.5357142857142857, 0.4897959183673469, 0.6153846153846154, 1.0]",6.975348565456425
3,0.25158582043259436,"[0.55, 0.9166666666666666, 0.6363636363636364, 0.49122807017543857]",9.926336976033669
4,0.2648622913353569,"[0.8823529411764706, 0.4418604651162791, 0.5555555555555556, 0.5806451612903226]",11.938066773534466
5,0.22612322247257527,"[0.8333333333333334, 0.6363636363636364, 0.5333333333333333, 0.4634146341463415]",13.528539643929658
6,0.22562705962054858,"[0.4523809523809524, 0.5454545454545454, 0.6, 0.8235294117647058]",14.97917381563872
7,0.23517828411719036,"[0.5806451612903226, 0.45, 0.5454545454545454, 0.8333333333333334]",16.196858107379523
8,0.230652414489595,"[0.5806451612903226, 0.43902439024390244, 0.8333333333333334, 0.6]",17.215334783759126
9,0.24120733885075182,"[0.59375, 0.5454545454545454, 0.4358974358974359, 0.8333333333333334]",18.11638336375974
10,0.23207033321150095,"[0.6129032258064516, 0.8235294117647058, 0.43902439024390244, 0.5454545454545454]",18.946380186552748
11,0.2486511915517437,"[0.8333333333333334, 0.6060606060606061, 0.42105263157894735, 0.5454545454545454]",19.583772993488182
12,0.2486511915517437,"[0.5454545454545454, 0.6060606060606061, 0.42105263157894735, 0.8333333333333334]",20.18332063409138
13,0.24392015201781175,"[0.5454545454545454, 0.5882352941176471, 0.43243243243243246, 0.8333333333333334]",20.723472166583676
14,0.22191480929947946,"[0.6296296296296297, 0.8235294117647058, 0.43478260869565216, 0.6]",21.305417053204874
15,0.23207033321150095,"[0.8235294117647058, 0.5454545454545454, 0.6129032258064516, 0.43902439024390244]",21.733183970606362
16,0.23742442468500832,"[0.5757575757575758, 0.4473684210526316, 0.8333333333333334, 0.5454545454545454]",22.13778619855884
17,0.23958986791484949,"[0.6129032258064516, 0.4523809523809524, 0.5, 0.8235294117647058]",22.58312375358328
18,0.23979468558354639,"[0.8333333333333334, 0.5428571428571428, 0.4864864864864865, 0.5]",22.90994108920276
19,0.2613500545780567,"[0.8333333333333334, 0.5555555555555556, 0.4864864864864865, 0.4444444444444444]",23.230112495783477
20,0.25971479030473504,"[0.625, 0.4807692307692308, 0.42857142857142855, 0.8235294117647058]",23.565811279917913
21,0.22408938378596552,"[0.8235294117647058, 0.5757575757575758, 0.5454545454545454, 0.46153846153846156]",23.78802062229918
22,0.22767685869751011,"[0.45, 0.5454545454545454, 0.59375, 0.8235294117647058]",24.051230952139527
23,0.23428428257356088,"[0.6521739130434783, 0.46153846153846156, 0.5, 0.8235294117647058]",24.383402539098828
24,0.22767685869751011,"[0.8235294117647058, 0.59375, 0.45, 0.5454545454545454]",24.57656820827053
25,0.280817935051202,"[0.5555555555555556, 0.52, 0.9285714285714286, 0.5]",24.88742182293139
26,0.2827028877027712,"[0.59375, 0.6, 0.4318181818181818, 0.9285714285714286]",25.10150028331717
27,0.23958986791484949,"[0.4523809523809524, 0.6129032258064516, 0.5, 0.8235294117647058]",25.296891251047303
28,0.23213979893818262,"[0.4186046511627907, 0.6, 0.6333333333333333, 0.8235294117647058]",25.497090545379464
29,0.23720179566952587,"[0.48, 0.5769230769230769, 0.8666666666666667, 0.5555555555555556]",25.723513092619
30,0.32479212181609285,"[0.5, 0.509090909090909, 0.5555555555555556, 1.0]",25.999404719857594
31,0.23430972576690146,"[0.8333333333333334, 0.5454545454545454, 0.5588235294117647, 0.4594594594594595]",26.029612686077993
32,0.25094160708196256,"[0.6333333333333333, 0.5454545454545454, 0.4146341463414634, 0.8333333333333334]",26.217594113176606
33,0.24102074169238613,"[0.8235294117647058, 0.6538461538461539, 0.4489795918367347, 0.5]",26.414098593369225
34,0.22317234800393093,"[0.8235294117647058, 0.43902439024390244, 0.6, 0.59375]",26.563091520080707
35,0.2717567529290746,"[0.9285714285714286, 0.5555555555555556, 0.6190476190476191, 0.4642857142857143]",26.757961625723304
36,0.32491147498330675,"[0.5087719298245614, 0.5555555555555556, 0.5, 1.0]",26.986832654186266
37,0.2690934454473284,"[0.9285714285714286, 0.6, 0.5833333333333334, 0.46153846153846156]",27.054430843989397
38,0.2373171042669592,"[0.6333333333333333, 0.5454545454545454, 0.42857142857142855, 0.8235294117647058]",27.16643800063338
39,0.22228723354859697,"[0.5454545454545454, 0.8235294117647058, 0.4634146341463415, 0.5806451612903226]",27.293676287367497
40,0.21045634364286966,"[0.5555555555555556, 0.4716981132075472, 0.6190476190476191, 0.8235294117647058]",27.452294254967207
41,0.21507564245131655,"[0.5555555555555556, 0.46153846153846156, 0.6363636363636364, 0.8235294117647058]",27.577888441733847
42,0.2318371089830056,"[0.8333333333333334, 0.4722222222222222, 0.5428571428571428, 0.5454545454545454]",27.649790370714975
43,0.21507564245131655,"[0.5555555555555556, 0.46153846153846156, 0.6363636363636364, 0.8235294117647058]",27.822990009047608
44,0.21507564245131655,"[0.5555555555555556, 0.46153846153846156, 0.6363636363636364, 0.8235294117647058]",27.940743383175448
45,0.2432837425083178,"[0.5909090909090909, 0.4716981132075472, 0.5555555555555556, 0.875]",28.083926153711577
46,0.26050425430244256,"[0.8333333333333334, 0.5588235294117647, 0.4444444444444444, 0.48717948717948717]",28.11757555095916
47,0.2590272015566079,"[0.8333333333333334, 0.5428571428571428, 0.4444444444444444, 0.5]",28.22324110753995
48,0.3381514334373478,"[1.0, 0.5555555555555556, 0.5263157894736842, 0.45454545454545453]",28.450124825755324
49,0.33333333333333337,"[0.5384615384615384, 0.5, 0.5, 1.0]",28.507701990681756
50,0.3400559459499816,"[1.0, 0.5, 0.5178571428571429, 0.5]",28.661921085210906
51,0.28615525529357666,"[0.5384615384615384, 0.5098039215686274, 0.5, 0.9230769230769231]",28.694963749623906
52,0.29816458205203006,"[0.5757575757575758, 0.5, 0.46511627906976744, 0.9285714285714286]",28.744776048862683
53,0.24310562729143323,"[0.5555555555555556, 0.8333333333333334, 0.4722222222222222, 0.5]",28.81479315094416
54,0.24310562729143323,"[0.5555555555555556, 0.8333333333333334, 0.4722222222222222, 0.5]",28.908515668423156
