,features_kept,cv,cluster_accuracy,mean_centroid_distance
0,1,0.06214915848841356,"[0.9423076923076923, 0.8061224489795918, 0.8615384615384616, 0.9302325581395349]",0.9466247941762422
1,2,0.05495300182101443,"[0.8913043478260869, 0.9493670886075949, 0.8222222222222222, 0.8476190476190476]",2.128548682037581
2,3,0.02522924907727071,"[0.875, 0.845360824742268, 0.8804347826086957, 0.9076923076923077]",3.1672670093786017
3,5,0.020453482358325895,"[0.8777777777777778, 0.8983050847457628, 0.8484848484848485, 0.8813559322033898]",4.442171800873002
4,10,0.02195899100768583,"[0.8552631578947368, 0.9032258064516129, 0.8849557522123894, 0.8608695652173913]",5.971562162239933
5,15,0.026082490827030385,"[0.9076923076923077, 0.8434782608695652, 0.8828828828828829, 0.88]",6.863047553372083
6,20,0.017624038959262272,"[0.8793103448275862, 0.8571428571428571, 0.8717948717948718, 0.9]",7.4916403875851145
7,30,0.023352720510691465,"[0.90625, 0.8552631578947368, 0.8596491228070176, 0.8839285714285714]",8.402848415595649
8,50,0.022007557822190667,"[0.8839285714285714, 0.8584070796460177, 0.8589743589743589, 0.9047619047619048]",9.531701770348377
9,70,0.02195899100768583,"[0.8552631578947368, 0.9032258064516129, 0.8608695652173913, 0.8849557522123894]",10.23042238396982
