features_kept,cv,cluster_performances,mean_centroid_distance
37,0.16406720150677528,"[0.5818181818181818, 0.7692307692307693, 0.5769230769230769, 0.8333333333333334]",26.863143678117545
38,0.1695275000675908,"[0.5555555555555556, 0.7692307692307693, 0.8333333333333334, 0.5925925925925926]",26.998899029827285
39,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",27.140434642913792
40,0.16406720150677528,"[0.8333333333333334, 0.5818181818181818, 0.5769230769230769, 0.7692307692307693]",27.272009624678418
41,0.1695275000675908,"[0.7692307692307693, 0.5555555555555556, 0.8333333333333334, 0.5925925925925926]",27.38870941593425
42,0.16406720150677528,"[0.5818181818181818, 0.7692307692307693, 0.5769230769230769, 0.8333333333333334]",27.521076441482304
43,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",27.638476458101675
44,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",27.755571962707222
45,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",27.870104287049095
46,0.1695275000675908,"[0.5925925925925926, 0.8333333333333334, 0.7692307692307693, 0.5555555555555556]",27.98421188897853
47,0.1695275000675908,"[0.5925925925925926, 0.8333333333333334, 0.7692307692307693, 0.5555555555555556]",28.08500149892642
48,0.1640672015067753,"[0.8333333333333334, 0.7692307692307693, 0.5818181818181818, 0.5769230769230769]",28.189057885277567
49,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",28.281314092114794
50,0.16952750006759082,"[0.5555555555555556, 0.7692307692307693, 0.5925925925925926, 0.8333333333333334]",28.38131124405599
51,0.1695275000675908,"[0.8333333333333334, 0.5925925925925926, 0.5555555555555556, 0.7692307692307693]",28.477340308176917
52,0.16406720150677526,"[0.7692307692307693, 0.5818181818181818, 0.8333333333333334, 0.5769230769230769]",28.56921577574666
53,0.16406720150677528,"[0.5769230769230769, 0.5818181818181818, 0.7692307692307693, 0.8333333333333334]",28.660901955873754
