,cv,num_pc,cluster_accuracy,cluster_distance
0,0.16434375127674936,1,"[0.7748917748917749, 0.927710843373494, 0.8369565217391305, 0.9139072847682119]","(24.842173420467564, 15.701692657912098, 9.158199513660495)"
1,0.16552055990011977,2,"[0.9142857142857143, 0.9069767441860465, 0.8693467336683417, 0.7601809954751131]","(25.151345117311013, 16.449208546392455, 9.431252618538792)"
2,0.14379997122339636,3,"[0.7601809954751131, 0.9194630872483222, 0.8631578947368421, 0.9069767441860465]","(25.01834258510108, 16.32996416045698, 9.436491134772021)"
3,0.16917842164385488,5,"[0.8693467336683417, 0.9127906976744186, 0.920863309352518, 0.7522522522522522]","(25.007507727885095, 16.616045837202726, 9.521399535478801)"
4,0.15795091183382112,10,"[0.9236111111111112, 0.7533632286995515, 0.8652849740932642, 0.9127906976744186]","(25.00453918011309, 16.65793281853114, 9.555952955840647)"
5,0.1651593580295892,15,"[0.8556701030927835, 0.9074074074074074, 0.7665198237885462, 0.9261744966442953]","(24.876085556894296, 16.502325934251708, 9.550448687123591)"
6,0.19423904466859257,20,"[0.9056603773584906, 0.8629441624365483, 0.7692307692307693, 0.9225352112676056]","(25.032023835133547, 16.685743813261702, 9.573294017359617)"
7,0.20211193452357298,30,"[0.7702127659574468, 0.920863309352518, 0.9056603773584906, 0.864321608040201]","(25.061767101115056, 16.722343023362562, 9.585336542692303)"
8,0.20140893436046026,50,"[0.9214285714285714, 0.9050632911392406, 0.7702127659574468, 0.864321608040201]","(25.09605252772166, 16.710066895736873, 9.60178842969508)"
9,0.20140893436046026,70,"[0.864321608040201, 0.7702127659574468, 0.9050632911392406, 0.9214285714285714]","(25.048791187743568, 16.714111532806946, 9.612208205052035)"
