features_kept,cv,cluster_performances,mean_centroid_distance
1,0.09062933201905454,"[0.9275053304904051, 0.7883880825057296, 0.9822485207100592, 0.8148148148148148]",3.2246683234741154
2,0.08381589318276994,"[0.7932692307692307, 0.9586776859504132, 0.8192651439920556, 0.9457627118644067]",7.047938335059577
3,0.07407045566056711,"[0.8039647577092511, 0.8640483383685801, 0.7983407785577536, 0.9558359621451105]",9.817070078566388
4,0.07407905647621789,"[0.8452535760728218, 0.9607250755287009, 0.8157181571815718, 0.798171129980405]",12.02373113867606
5,0.07334968968852114,"[0.9584569732937686, 0.7968545216251638, 0.8478543563068921, 0.8152173913043478]",13.61748102030049
6,0.07639518233736714,"[0.8162162162162162, 0.8538163001293662, 0.7930582842174198, 0.9636363636363636]",15.043263588337506
7,0.0756298716375297,"[0.8540609137055838, 0.960960960960961, 0.7932628797886394, 0.8136986301369863]",16.13448561604587
8,0.07817156777925374,"[0.8481338481338482, 0.7941952506596306, 0.8157181571815718, 0.9674556213017751]",16.980927185010852
9,0.07853481397489107,"[0.8142076502732241, 0.8492268041237113, 0.967551622418879, 0.793943383805135]",17.762982278272347
10,0.07797505397651212,"[0.8540332906530089, 0.9649122807017544, 0.7918043621943159, 0.8131868131868132]",18.466975005017588
11,0.07886485254137554,"[0.8136986301369863, 0.7927631578947368, 0.967551622418879, 0.8518041237113402]",19.10892351168316
12,0.07863178784632753,"[0.851421188630491, 0.8136986301369863, 0.9673590504451038, 0.7933070866141733]",19.695980317017096
13,0.07823198497770699,"[0.9671641791044776, 0.8510911424903723, 0.8157181571815718, 0.7930125247198417]",20.23277926612864
14,0.07826403897888799,"[0.9671641791044776, 0.8157181571815718, 0.8512820512820513, 0.7928759894459103]",20.74058731670436
15,0.07741660062518843,"[0.7935356200527705, 0.9663608562691132, 0.8509554140127389, 0.8172043010752689]",21.16234427549623
16,0.0777113681938871,"[0.793943383805135, 0.8514724711907811, 0.8150134048257373, 0.9663608562691132]",21.570351201988377
17,0.07867144143762445,"[0.7935356200527705, 0.8504435994930292, 0.9690402476780186, 0.8172043010752689]",21.912136885738196
18,0.07889013724032436,"[0.8172043010752689, 0.9691358024691358, 0.8517110266159695, 0.7927392739273927]",22.252286804394465
19,0.07733571847015054,"[0.8515228426395939, 0.7933993399339934, 0.8172043010752689, 0.9661538461538461]",22.55977949943396
20,0.07724806969393873,"[0.7933993399339934, 0.9661538461538461, 0.8513341804320204, 0.8176943699731903]",22.851477278972194
21,0.07759909171952642,"[0.7936717205009888, 0.8157181571815718, 0.8515228426395939, 0.9662576687116564]",23.129853544864385
22,0.07727839191441432,"[0.8169398907103825, 0.8481012658227848, 0.9664634146341463, 0.7948548812664907]",23.387929225270014
23,0.07903453990007578,"[0.9693251533742331, 0.7943309162821358, 0.8491761723700887, 0.8152173913043478]",23.632325573855276
24,0.0790390219584349,"[0.8497474747474747, 0.8152173913043478, 0.7940594059405941, 0.9692307692307692]",23.86376676391572
25,0.07868271491793757,"[0.8147138964577657, 0.7948717948717948, 0.96875, 0.8497474747474747]",24.08727723604647
26,0.07918513934624705,"[0.7940594059405941, 0.8497474747474747, 0.9693251533742331, 0.8147138964577657]",24.30067347717596
27,0.07877948278724231,"[0.7943495400788436, 0.8147138964577657, 0.8508217446270544, 0.96875]",24.496818906426423
28,0.0786574504607279,"[0.8147138964577657, 0.9684542586750788, 0.7940983606557377, 0.8520859671302149]",24.687528251771948
29,0.07867063375019934,"[0.8147138964577657, 0.8511979823455234, 0.9685534591194969, 0.7943495400788436]",24.877777154946006
30,0.07872511082548186,"[0.7943495400788436, 0.9686520376175548, 0.8147138964577657, 0.851010101010101]",25.047180956275366
31,0.07857641517467909,"[0.7934210526315789, 0.8513853904282116, 0.8169398907103825, 0.96875]",25.213561266840053
32,0.07837371905922261,"[0.8511979823455234, 0.9685534591194969, 0.793827971109652, 0.8169398907103825]",25.37477127524182
33,0.07831883244981429,"[0.8513853904282116, 0.8169398907103825, 0.9684542586750788, 0.793827971109652]",25.52418525507682
34,0.0783466827754906,"[0.8174386920980926, 0.7935568704799474, 0.8513853904282116, 0.9685534591194969]",25.673539655700328
35,0.07866905952343835,"[0.8515723270440252, 0.793943383805135, 0.8152173913043478, 0.9685534591194969]",25.81039783011559
36,0.07872321868080319,"[0.9686520376175548, 0.793943383805135, 0.8513853904282116, 0.8152173913043478]",25.94660783917122
37,0.07864703401573103,"[0.8147138964577657, 0.7942143326758712, 0.8515723270440252, 0.9684542586750788]",26.078556996485418
38,0.07870142859290016,"[0.7942143326758712, 0.8147138964577657, 0.8513853904282116, 0.9685534591194969]",26.204503186925045
39,0.07850063223488046,"[0.9688473520249221, 0.7940789473684211, 0.8169398907103825, 0.849936948297604]",26.324387233822897
40,0.0781722624540758,"[0.793285055957867, 0.9686520376175548, 0.8506900878293601, 0.8191780821917808]",26.440724920696884
41,0.07886397053923497,"[0.8508217446270544, 0.8147138964577657, 0.7942143326758712, 0.9688473520249221]",26.55284317656373
42,0.07868140139290289,"[0.8164383561643835, 0.8506900878293601, 0.7936717205009888, 0.9688473520249221]",26.660499810943147
43,0.07865069883398887,"[0.9688473520249221, 0.7938076416337286, 0.8164383561643835, 0.8505025125628141]",26.76856561333832
44,0.07827023475301151,"[0.8186813186813187, 0.9688473520249221, 0.7938076416337286, 0.849435382685069]",26.870124118400696
45,0.07827023475301151,"[0.8186813186813187, 0.9688473520249221, 0.7938076416337286, 0.849435382685069]",26.968595645961862
46,0.07827023475301151,"[0.7938076416337286, 0.9688473520249221, 0.8186813186813187, 0.849435382685069]",27.06436834854267
47,0.07827023475301151,"[0.7938076416337286, 0.9688473520249221, 0.8186813186813187, 0.849435382685069]",27.15858822878746
48,0.07827023475301151,"[0.9688473520249221, 0.8186813186813187, 0.849435382685069, 0.7938076416337286]",27.25245772144396
49,0.07833653674627983,"[0.8186813186813187, 0.7934210526315789, 0.9688473520249221, 0.8503144654088051]",27.34367586752091
50,0.07827023475301151,"[0.8186813186813187, 0.7938076416337286, 0.849435382685069, 0.9688473520249221]",27.43385671023429
51,0.07827023475301151,"[0.9688473520249221, 0.849435382685069, 0.8186813186813187, 0.7938076416337286]",27.52104370295002
52,0.07855391536407455,"[0.8164383561643835, 0.9688473520249221, 0.7943309162821358, 0.849435382685069]",27.60424504464314
53,0.07895054322343026,"[0.7943309162821358, 0.9688473520249221, 0.8505025125628141, 0.8142076502732241]",27.68554827251814
54,0.07888580931418555,"[0.8147138964577657, 0.8505025125628141, 0.7941952506596306, 0.9688473520249221]",27.7631237735652
55,0.07855391536407456,"[0.7943309162821358, 0.9688473520249221, 0.849435382685069, 0.8164383561643835]",27.8402515924723
56,0.07895054322343027,"[0.8142076502732241, 0.8505025125628141, 0.9688473520249221, 0.7943309162821358]",27.91577457661742
57,0.07862709488794223,"[0.7936717205009888, 0.96875, 0.8164383561643835, 0.8508771929824561]",27.990634729424468
58,0.07831252409342704,"[0.8506900878293601, 0.793285055957867, 0.8186813186813187, 0.96875]",28.0637741834675
59,0.07873130182409983,"[0.7931488801054019, 0.96875, 0.8519447929736512, 0.8164383561643835]",28.13410835855922
60,0.07834379767311993,"[0.7931488801054019, 0.96875, 0.8508771929824561, 0.8186813186813187]",28.20283446126109
61,0.07856559748241826,"[0.793943383805135, 0.96875, 0.8505025125628141, 0.8164383561643835]",28.27103460283514
62,0.07893443778104108,"[0.8147138964577657, 0.7936717205009888, 0.8517587939698492, 0.96875]",28.337700816579495
63,0.07855391536407455,"[0.7943309162821358, 0.8164383561643835, 0.9688473520249221, 0.849435382685069]",28.403931735936343
