features_kept,cv,cluster_performances,mean_centroid_distance
1,0.22599310548189483,"[31.805858265269887, 24.534582001822336, 19.4223017643743, 18.358922958374023]",0.18543004094390644
2,0.2247245413021476,"[19.955826576441936, 24.537433104081586, 18.15937501733953, 31.916198591752487]",0.24052599568323316
3,0.22254234772574358,"[31.916198591752487, 18.367750300917514, 23.931155807670507, 19.967721836678933]",0.285505504610369
4,0.21782029979973438,"[20.032457024160056, 31.635344290518546, 18.367750300917514, 23.931155807670507]",0.3086000075840575
5,0.2188686443324655,"[31.635344290518546, 18.247904626008506, 24.092471111779926, 20.065839024998198]",0.3240349322332369
6,0.2188686443324655,"[31.635344290518546, 18.247904626008506, 24.092471111779926, 20.065839024998198]",0.33288920094798946
7,0.2189278790654724,"[20.05995485694911, 24.092471111779926, 31.635344290518546, 18.247629658157276]",0.33736335131255785
8,0.21935806374448186,"[20.13289188937306, 24.092471111779926, 31.635344290518546, 18.16373361986737]",0.3406901134685909
9,0.2189278790654724,"[20.05995485694911, 18.247629658157276, 24.092471111779926, 31.635344290518546]",0.34325041385916477
10,0.2184663804583686,"[24.092471111779926, 19.99654066721598, 31.635344290518546, 18.32881801533249]",0.34490956629949343
11,0.2184663804583686,"[19.99654066721598, 18.32881801533249, 31.635344290518546, 24.092471111779926]",0.3465749494480235
12,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 31.635344290518546, 18.208748109879032]",0.3478594027878742
13,0.21894276604237167,"[31.635344290518546, 18.208748109879032, 24.092471111779926, 20.113129761259433]",0.3491085813990659
14,0.21894058561880936,"[24.092471111779926, 20.099623641452276, 18.218439914562083, 31.635344290518546]",0.3500716814168453
15,0.21894058561880936,"[24.092471111779926, 20.099623641452276, 18.218439914562083, 31.635344290518546]",0.3510303511205623
16,0.21894058561880936,"[24.092471111779926, 20.099623641452276, 18.218439914562083, 31.635344290518546]",0.3518317279126507
17,0.21894058561880936,"[24.092471111779926, 20.099623641452276, 18.218439914562083, 31.635344290518546]",0.3525476957781891
18,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3531819150315655
19,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.353683887003706
20,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3541875246231883
21,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.35465170458188633
22,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.35507322957106463
23,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.35550816872213287
24,0.21894276604237167,"[18.208748109879032, 31.635344290518546, 24.092471111779926, 20.113129761259433]",0.355866459231289
25,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3561762613654735
26,0.21894276604237167,"[18.208748109879032, 31.635344290518546, 24.092471111779926, 20.113129761259433]",0.3564974570160167
27,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3567489014561253
28,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3569802650155607
29,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.3572261972884347
30,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.35742718110325156
31,0.21894276604237167,"[18.208748109879032, 31.635344290518546, 24.092471111779926, 20.113129761259433]",0.35761199411678307
32,0.21894276604237173,"[24.092471111779926, 20.113129761259433, 18.208748109879032, 31.635344290518546]",0.35780402063443395
