,cv,num_pc,cluster_accuracy,cluster_distance
0,0.8667260181755804,1,"[28.64988932576213, 20.2957745268772, 30.106658110747468, 25.087795218642878]","(41.18998096437131, 31.064365539786692, 12.635385134698788)"
1,0.8044353069907358,2,"[24.97438750247406, 20.14742170029138, 29.897774353027344, 27.900493791368273]","(41.10772352648545, 30.994212040340397, 11.963632075717843)"
2,0.8042968095270514,3,"[20.11209631699782, 29.974807588677656, 25.054596426065075, 27.87046888972936]","(41.0454421604747, 31.12443996553809, 11.977964667450813)"
3,0.8189030655933859,5,"[25.234570124063147, 30.16663817321362, 20.0873353539989, 28.092909502559866]","(41.17178211824173, 31.111527857518567, 13.010425181169055)"
4,0.8370858845327127,10,"[28.352544260025024, 25.104020741678053, 30.343794992525282, 20.147805834258044]","(41.284073560440476, 31.27055487572074, 13.518885396534435)"
5,0.8555729011882355,15,"[20.150324630737305, 30.343794992525282, 28.943471614146393, 25.104020741678053]","(41.299855135805366, 31.391354918808858, 13.839152573917358)"
6,0.8553450063812581,20,"[20.12513386099679, 30.343794992525282, 25.178612164640235, 28.94199422200521]","(41.305539003239005, 31.38886224693676, 13.83215165514107)"
7,0.8538855052724077,30,"[30.343794992525282, 28.94199422200521, 20.140517378835437, 25.104020741678053]","(41.30265853481353, 31.38991375399246, 13.8475106308116)"
8,0.8538855052724077,50,"[20.164498259328322, 30.343794992525282, 25.104020741678053, 28.802265625]","(41.28522658403002, 31.38094265464601, 13.849747939167903)"
9,0.8572616168438749,70,"[28.857488580652184, 30.343794992525282, 25.104020741678053, 20.174889283637476]","(41.30424910787152, 31.39298022638713, 13.853928638150913)"
