,cv,num_pc,cluster_accuracy,cluster_distance
0,0.8269634389960405,1,"[19.34246914407902, 21.14976237903942, 21.801171879808443, 17.42368135117648]","(40.2651009485328, 30.249734652433663, 10.727592611354531)"
1,0.7843203544116496,2,"[21.14976237903942, 17.055715288989656, 20.815991834493783, 19.811993484702437]","(40.14434780839568, 29.885894077835466, 10.742428462906652)"
2,0.8765907182184216,3,"[16.614391982806886, 19.563179753150468, 25.991861307621, 21.14976237903942]","(42.10915673394296, 31.56653570996174, 11.840547469261791)"
3,0.8773540953969743,5,"[16.62135316151141, 19.54831937561788, 21.14976237903942, 26.064490568637847]","(42.184110663723985, 31.56341247217278, 11.863882728297744)"
4,0.8819227349543911,10,"[16.6390370080451, 19.536737914155857, 21.840958239985447, 25.826019537448882]","(43.69148903816398, 32.584301511068695, 11.87639272844326)"
5,0.8471126338675791,15,"[19.678205803075194, 21.840958239985447, 24.66494674896926, 16.6811540849138]","(42.90391064930384, 32.01904059194837, 11.429586820066342)"
6,0.8448442684059597,20,"[19.60111200886388, 16.821121059729904, 24.259248992671136, 21.840958239985447]","(42.88476952547302, 31.999401714544597, 11.414090461104086)"
7,0.8483827045248911,30,"[24.66494674896926, 19.647710635490025, 16.716283601036604, 21.840958239985447]","(42.92705375265873, 32.0391977454619, 11.43141096427796)"
8,0.8716204469828025,50,"[19.560342584422337, 25.313667444955733, 21.840958239985447, 16.666925580982358]","(43.35684576819368, 32.360900350695125, 11.751046954317863)"
9,0.8445338322713859,80,"[19.610830065195497, 16.804359909087893, 21.840958239985447, 24.41236626970899]","(42.90861920029526, 32.01531430572297, 11.413054600145296)"
