,cv,num_pc,cluster_accuracy,cluster_distance
0,0.510295724012538,1,"[33.01554469534531, 29.856549714740954, 37.34567432403564, 31.566477358129102]","(30.7278035170161, 17.62664419929528, 6.140994899907328)"
1,0.773345450106841,2,"[32.27591309109748, 29.407780820673164, 35.59223573104195, 32.65129644974418]","(29.914453298115824, 16.47898157357904, 8.442633770373057)"
2,0.5251128103069408,3,"[33.05255356754165, 29.856549714740954, 31.422814181106727, 38.1511546687076]","(30.92205411279622, 17.803252485341602, 6.645630689913886)"
3,0.5231391373480202,5,"[33.087137755112124, 29.856549714740954, 31.46882613609577, 37.82187385063667]","(30.969285707008993, 17.838860991200157, 6.698891724449122)"
4,0.54433924298747,10,"[38.26697697358973, 33.03969771236521, 29.856549714740954, 31.51650868877505]","(31.4118186899997, 18.13779865355859, 6.809521275184444)"
5,0.5438127283320013,15,"[33.03352589157392, 29.856549714740954, 31.511487886150537, 38.26697697358973]","(31.499369059081953, 18.19793817185128, 6.8291174677949)"
6,0.54433924298747,20,"[38.26697697358973, 29.856549714740954, 33.11195794167174, 31.44935518945485]","(31.414452613841096, 18.14013711942125, 6.819590380056892)"
7,0.5446461414836244,30,"[31.471491182354136, 33.09430901330846, 29.856549714740954, 38.26697697358973]","(31.414532637627126, 18.13883275893722, 6.820920703254546)"
8,0.5440614237477881,50,"[31.49445383599464, 29.856549714740954, 33.05748664971554, 38.26697697358973]","(31.435071773448914, 18.15335190047368, 6.8242074842338925)"
9,0.5440614237477881,80,"[29.856549714740954, 33.05748664971554, 31.49445383599464, 38.26697697358973]","(31.435072349508765, 18.15335328489824, 6.824210818643465)"
