,cv,num_pc,cluster_accuracy,cluster_distance
0,1.1345267825874201,1,"[25.655573586160823, 22.846476745605468, 36.24359648568289, 24.011133466448104]","(28.30424056902795, 17.115917855377187, 9.622385451592068)"
1,1.012880314060968,2,"[25.330185906361724, 14.908827268160302, 31.820163623706716, 28.013778686523438]","(25.510163185011308, 18.356270123076637, 8.903477275472635)"
2,1.03406469619573,3,"[25.881461588541665, 28.013778686523438, 14.908827268160302, 30.300931440080916]","(25.54511031357895, 18.43629945774475, 8.877175903010029)"
3,1.0122353521603882,5,"[25.330185906361724, 24.836506843566895, 31.820163623706716, 15.934929211934403]","(25.285820826452007, 18.463902045419175, 8.866333677515236)"
4,1.0155846813033167,10,"[25.330185906361724, 16.584147019819774, 24.836506843566895, 31.21419966848273]","(26.05517900104364, 19.129678793607, 8.97034771000234)"
5,1.0160989828048952,15,"[25.330185906361724, 28.013778686523438, 31.21419966848273, 15.418435096740717]","(26.064496156349094, 19.15898542758851, 8.98957733195506)"
6,1.0160989828048952,20,"[25.330185906361724, 15.418435096740717, 28.013778686523438, 31.21419966848273]","(26.055027473078695, 19.151955288953808, 9.011405095725598)"
7,1.0160989828048952,30,"[31.21419966848273, 15.418435096740717, 25.330185906361724, 28.013778686523438]","(26.065564336466945, 19.171786685917965, 9.017918217443986)"
8,1.0160989828048952,50,"[31.21419966848273, 28.013778686523438, 25.330185906361724, 15.418435096740717]","(26.068235964960444, 19.17728669879169, 9.020270775208642)"
9,1.0160989828048952,80,"[15.418435096740717, 25.330185906361724, 28.013778686523438, 31.21419966848273]","(26.068940965882547, 19.178830980602534, 9.020802112632804)"
