,cv,num_pc,cluster_accuracy,cluster_distance
0,0.16599866130651644,1,"[0.8333333333333334, 0.8888888888888888, 0.7647058823529411, 0.9375]","(20.423591867771243, 17.117468744262794, 8.789329749970998)"
1,0.20088692231092484,2,"[0.8, 1.0, 0.8888888888888888, 0.7647058823529411]","(20.42646784578931, 17.15986046421925, 8.809867193796238)"
2,0.20088692231092484,3,"[0.8, 0.8888888888888888, 0.7647058823529411, 1.0]","(20.426470535114166, 17.176053395524523, 8.873107735027862)"
3,0.16599866130651644,5,"[0.9375, 0.7647058823529411, 0.8333333333333334, 0.8888888888888888]","(20.447308873714434, 17.231321716240252, 8.939312358820716)"
4,0.19367785395111933,10,"[0.7647058823529411, 1.0, 0.8, 0.8823529411764706]","(20.450418085386172, 17.551668218714465, 10.05958317051405)"
5,0.1616580753730952,15,"[0.8823529411764706, 0.7647058823529411, 0.8333333333333334, 0.9411764705882353]","(20.461133770705175, 17.617004853341516, 10.453199366792372)"
6,0.1616580753730952,20,"[0.7647058823529411, 0.8823529411764706, 0.8333333333333334, 0.9411764705882353]","(20.464125282698895, 17.7237426903339, 10.766128203664485)"
7,0.1616580753730952,30,"[0.8333333333333334, 0.9411764705882353, 0.7647058823529411, 0.8823529411764706]","(20.473083691316656, 17.74438490819368, 10.821957069169214)"
8,0.1616580753730952,50,"[0.8823529411764706, 0.8333333333333334, 0.7647058823529411, 0.9411764705882353]","(20.48159151950351, 17.803071335398798, 10.958561281034283)"
9,0.1616580753730952,70,"[0.8823529411764706, 0.7647058823529411, 0.9411764705882353, 0.8333333333333334]","(20.48733873881561, 17.822351890288537, 10.995440402597431)"
