,cv,num_pc,cluster_accuracy,cluster_distance
0,0.6188766512357348,1,"[31.37430395398821, 23.75743108068794, 24.970372163612424, 21.165358776647608]","(31.65054014308771, 16.895359735515576, 10.792495047335857)"
1,0.6794780467310658,2,"[23.485486115800573, 23.972010383921223, 21.93254273864565, 35.498600482940674]","(41.37264142048823, 23.95312362625428, 11.296587287734562)"
2,0.682014588126009,3,"[23.990678071975708, 21.931949085032446, 23.485486115800573, 35.498600482940674]","(41.44815894287835, 24.085306144988664, 11.374685711005885)"
3,0.6683791067650228,5,"[21.987923196999425, 23.636428140889745, 23.70202042804501, 33.04556005141314]","(42.99978270348348, 25.11517121374859, 11.451888772852932)"
4,0.6670324378554332,10,"[24.146385608180875, 21.774868827268303, 23.702390751596223, 33.04556005141314]","(43.05808351326911, 25.123347703403613, 11.432624965547841)"
5,0.6681885929219367,15,"[21.761534762454104, 23.729487626096034, 24.146385608180875, 33.04556005141314]","(43.13483375899518, 25.180192934928687, 11.446338662519688)"
6,0.6681885929219367,20,"[23.729487626096034, 24.146385608180875, 21.761534762454104, 33.04556005141314]","(43.694902940045814, 25.44926216212347, 11.437628260852769)"
7,0.6820262554200189,30,"[21.837105461278146, 33.04556005141314, 23.701108019576115, 24.10365088647153]","(43.18936402814688, 25.398509356030974, 11.644564316567974)"
8,0.6681885929219367,50,"[21.761534762454104, 24.146385608180875, 23.729487626096034, 33.04556005141314]","(43.7471323663416, 25.476525506411637, 11.438364835806624)"
9,0.687337482787501,80,"[24.4231438965633, 33.04556005141314, 21.78510907117058, 23.631994522224037]","(43.2071998109571, 25.444133853906198, 11.689881432547768)"
