,cv,num_pc,cluster_accuracy,cluster_distance
0,0.6184136006625988,1,"[28.93560290996845, 26.63185336226124, 29.7320558529089, 29.13508031723347]","(38.88630340137441, 33.659279152266734, 15.64166518492198)"
1,0.6171642074236362,2,"[28.86528288952412, 29.7320558529089, 26.765113667545155, 28.862881124019623]","(38.89572665294445, 33.660311401445846, 15.694277494971905)"
2,0.5796931355187905,3,"[29.438064460754394, 29.083569852847617, 26.614237467447918, 29.319820489202225]","(38.151261218464995, 33.586793613252865, 15.3586921075343)"
3,0.5962847569309073,5,"[29.300067876514635, 26.667743742465973, 29.57391544342041, 27.957554661497777]","(38.64835051072778, 33.98503050848022, 15.774326857521864)"
4,0.58949358823752,10,"[26.569106489419937, 29.57391544342041, 29.38571412042277, 27.99816245658725]","(38.621279481283146, 34.05864438938431, 15.810117580112555)"
5,0.58949358823752,15,"[29.38571412042277, 27.99816245658725, 26.569106489419937, 29.57391544342041]","(38.62676655518582, 34.06063566712939, 15.811701332367841)"
6,0.58949358823752,20,"[29.57391544342041, 26.569106489419937, 29.38571412042277, 27.99816245658725]","(38.62822436781035, 34.05438310858784, 15.82006116098878)"
7,0.58949358823752,30,"[26.569106489419937, 29.38571412042277, 29.57391544342041, 27.99816245658725]","(38.63683522162616, 34.1054934133399, 15.817971121368428)"
8,0.58949358823752,50,"[26.569106489419937, 29.38571412042277, 29.57391544342041, 27.99816245658725]","(38.59596911904341, 34.06799553464415, 15.798161613853745)"
9,0.58949358823752,80,"[27.99816245658725, 29.57391544342041, 29.38571412042277, 26.569106489419937]","(38.637695409073174, 34.06570815342875, 15.826469933018707)"
