,cv,num_pc,cluster_accuracy,cluster_distance
0,0.41376321731154403,1,"[0.3333333333333333, 0.6, 0.5714285714285714, 0.4]","(19.448584114941365, 15.61488842553451, 9.652679863399019)"
1,0.23664319132398465,2,"[0.75, 0.3333333333333333, 0.2857142857142857, 0.75]","(21.62279726083689, 16.615645144081316, 10.862676657457268)"
2,0.39799497484264795,3,"[0.5714285714285714, 0.5, 0.5, 0.5]","(19.95396944122737, 15.784449488575902, 9.989746022844358)"
3,0.23664319132398465,5,"[0.6666666666666666, 0.5, 0.2857142857142857, 0.75]","(21.94724430889636, 16.707639262024642, 11.188632283770342)"
4,0.14966629547095764,10,"[0.2857142857142857, 0.625, 0.6, 0]","(29.784911023125943, 20.52336928705531, 13.243147462108086)"
5,0.28565713714171403,15,"[0.5, 0.5555555555555556, 0.3333333333333333, 0.6666666666666666]","(19.252325960871882, 16.46434554489084, 10.923597620671364)"
6,0.20784609690826528,20,"[0.5714285714285714, 0.6, 0.4, 0.5]","(19.93122192573555, 16.447250458899784, 11.223831620384377)"
7,0.17435595774162696,30,"[0.6666666666666666, 0.3333333333333333, 0.5, 0.6]","(19.70761289430743, 16.513764208125643, 11.125565108560139)"
8,0.41376321731154403,50,"[0.3333333333333333, 0.6, 0.4, 0.5714285714285714]","(19.385578053125112, 16.62199743337809, 11.407758083818562)"
9,0.28565713714171403,70,"[0.6666666666666666, 0.5555555555555556, 0.3333333333333333, 0.5]","(19.502742153356568, 16.64667388022136, 11.263378747558384)"
