Cum. Perc. Var. (0.8),Cum. Perc. Var. (0.99),Perc. Var. (0.1),Eig. 1,Eig. Avg.,Minimum Mode CV
97,433,1,191,143,56
97,433,1,192,144,53
97,433,1,191,144,49
97,433,1,191,144,58
88,401,1,188,155,29
88,401,1,187,154,20
88,401,1,186,155,18
88,401,1,189,155,23
59,224,1,158,98,22
60,225,1,160,97,33
61,225,0,159,98,32
59,224,1,159,98,22
95,430,1,191,145,55
96,430,1,192,145,34
96,430,1,191,145,39
96,430,1,192,145,52
73,326,1,177,165,28
74,327,1,177,165,27
75,327,1,177,165,43
74,325,1,177,164,22
