Cum. Perc. Var. (0.8),Cum. Perc. Var. (0.99),Perc. Var. (0.1),Eig. 1,Eig. Avg.,Minimum Mode CV
2,9,2,0,23,5
1,2,1,0,10,1
2,3,2,0,13,2
1,1,1,1,8,3
1,5,1,4,31,1
1,4,1,3,24,3
1,4,1,2,33,1
1,3,1,3,21,3
2,20,2,0,68,16
2,18,2,0,62,20
2,8,2,1,44,19
2,26,2,1,69,12
2,17,1,0,65,33
2,16,2,1,62,6
1,3,1,0,20,3
2,8,2,0,43,6
