Cum. Perc. Var. (0.8),Cum. Perc. Var. (0.99),Perc. Var. (0.1),Eig. 1,Eig. Avg.,Minimum Mode CV
97,433,1,191,143,46
97,433,1,192,144,55
97,433,1,191,144,45
97,433,1,191,144,52
88,401,1,188,155,56
88,401,1,187,154,19
88,401,1,186,155,29
88,401,1,189,155,61
59,224,1,158,98,27
60,225,1,160,97,44
61,225,0,159,98,12
59,224,1,159,98,20
95,430,1,191,145,40
96,430,1,192,145,61
96,430,1,191,145,44
96,430,1,192,145,48
73,326,1,177,165,38
74,327,1,177,165,33
75,327,1,177,165,44
74,325,1,177,164,29
