Cum. Perc. Var. (0.8),Cum. Perc. Var. (0.99),Perc. Var. (0.1),Eig. 1,Eig. Avg.,Minimum Mode CV
97,433,1,191,143,44
97,433,1,192,144,56
97,433,1,191,144,46
97,433,1,191,144,54
88,401,1,188,155,32
88,401,1,187,154,19
88,401,1,186,155,46
88,401,1,189,155,43
59,224,1,158,98,31
60,225,1,160,97,52
61,225,0,159,98,17
59,224,1,159,98,15
95,430,1,191,145,41
96,430,1,192,145,66
96,430,1,191,145,44
96,430,1,192,145,62
73,326,1,177,165,26
74,327,1,177,165,35
75,327,1,177,165,44
74,325,1,177,164,34
