,cv_var,cv_iqr,cv_mode,cv_mode_freq,cv at CPV > 0.8,cv at CPV > 0.99,training_size
0,0.001743083822101205,0.06952690306611609,0.2667548389603213,7,0.3659357361330636,0.36544775930616974,300
1,0.0011860867131081921,0.036140241879206086,0.2439201520178117,6,0.2439201520178117,0.2318371089830056,300
2,7.645186799605469e-05,0.008000758654282236,0.2612015370769054,22,0.253736897409379,0.26120153707690547,300
3,0.0002148797937098096,0.018050150237324203,0.1695275000675908,22,0.1640672015067752,0.1695275000675908,300
4,1.2930378971626438e-05,0.0004937128095334753,0.0880447689110253,30,0.08755512531312594,0.09555282943275181,600
5,3.735867377413596e-05,0.004650119161907801,0.230727993932916,19,0.23072799393291601,0.2255523966853772,600
6,5.7168439489897714e-05,0.005047781417499314,0.1494594486534955,12,0.14735912990654007,0.14334767275354443,600
7,0.00016853447877210136,0.01505435574963726,0.2011916739514926,8,0.21502216185094605,0.20463321570323567,600
8,1.962077139625724e-06,0.00048718880446299573,0.1511852408018499,14,0.15156929770222752,0.15263847825802154,1500
9,3.914234219816615e-05,0.001131404294530708,0.1221811703487052,12,0.12218117034870525,0.12331038411831656,1500
10,1.7504897234611847e-05,0.0019817266562045938,0.1227670800845928,7,0.12080283176047478,0.12037869732429572,1500
11,7.529656286535127e-05,0.013660904287808695,0.1625684997245658,7,0.14845698942715474,0.16098790005887884,1500
12,5.223136399507161e-06,0.0002796618675585949,0.0826351737788481,2,0.0827906215718803,0.082517761167107,6000
13,6.309487718446426e-06,0.0004199355794508308,0.0772322377385175,3,0.07722916274535999,0.07736099819630259,6000
14,3.1232258243522227e-06,0.000342095609689827,0.0888091804560866,5,0.08902496015484392,0.0891935867834278,6000
15,6.68912768262167e-06,0.00030808195979270536,0.0743948072480142,5,0.07414242071237802,0.07445787444820925,6000
16,7.902715477148573e-06,0.00018956938438360188,0.0611027394999717,9,0.06099662546286644,0.061062633401816446,9000
17,3.83228154068512e-06,0.00041215178366733884,0.0782702347530115,7,0.07911559864913714,0.07845877663192188,9000
18,4.4869691892001915e-06,0.001124992876310002,0.0751951218705799,4,0.07641218377559786,0.0752286840460393,9000
19,1.5059789322270079e-06,0.0014109080537555302,0.0773140621721128,4,0.07726347624918191,0.0772994229506708,9000
