,cv_var,cv_iqr,cv_mode,cv_mode_freq,cv at CPV > 0.8,cv at CPV > 0.99,training_size
0,0.0005631408859907376,0.029978409830271183,0.1245918549653963,47,0.1245918549653963,0.181351558902641,75
1,0.002863041869084607,0.06062794537761184,0.046812183988348,39,0.046812183988348,0.046812183988348,75
2,0.0034731206515143565,0.08439067466241257,0.3055050463303893,10,0.3056560248650959,0.3055050463303893,75
3,0.007238891199203948,0.1457208000650296,0.331200660553418,32,0.331200660553418,0.3209636893892322,75
4,0.0008809879575250569,0.05846951307131759,0.0816536784074773,17,0.1211664305100615,0.12116643051006155,225
5,3.2188544416876615e-05,0.0022969455240793996,0.0751853166965129,43,0.0751853166965129,0.07518531669651299,225
6,6.594160032891523e-05,0.0,0.0264470208615631,66,0.0264470208615631,0.02644702086156319,225
7,3.4583593340273078e-06,3.164356910628774e-05,0.1087883177424298,33,0.1087883177424298,0.10508167657642299,225
8,6.352252393573012e-05,0.0037800532396951997,0.0477100902808448,24,0.04717988059337216,0.04771009028084488,1098
9,4.9836310574798886e-05,0.002394935009879695,0.0336504271271342,20,0.03299297619332377,0.03167789236032565,1098
10,4.1603992800854806e-05,0.001668075174050699,0.0233527205106914,10,0.022458135734568584,0.03218422608748637,1098
11,2.5892121205082587e-05,0.002304351145974104,0.0895799007182134,16,0.08763253813949032,0.09123711232427748,1098
12,1.3986560325028979e-06,0.0009726882096106337,0.0922340913835259,10,0.09051895227527486,0.09003057721349966,2196
13,1.3312424176843453e-05,0.002816955213882519,0.0821331862023013,9,0.0799071480970004,0.08162307913682007,2196
14,1.2013438310937148e-06,0.0010445779362507485,0.0846146628607805,6,0.08543131262749884,0.08741341064937797,2196
15,3.5336540342606605e-05,0.0022059504806230257,0.0752147052032882,12,0.07247673292548268,0.07348702021767495,2196
