,cv,num_pc,cluster_accuracy,cluster_distance
0,0.21492852939122556,1,"[0.8715596330275229, 0.7876106194690266, 0.8985507246376812, 0.8933333333333333]","(23.153209259130563, 16.819182393353454, 7.9728321230900825)"
1,0.18197623830980014,2,"[0.8674698795180723, 0.8985507246376812, 0.8333333333333334, 0.8392857142857143]","(22.583726470295687, 16.706455561350857, 8.25392247506747)"
2,0.40661759939422154,3,"[0.8888888888888888, 0.9384615384615385, 0.8444444444444444, 0.7846153846153846]","(23.57626253511849, 17.748403568225946, 9.161960482671997)"
3,0.4096174280198942,5,"[0.7829457364341085, 0.8976377952755905, 0.9253731343283582, 0.8372093023255814]","(23.588604609189858, 17.85164309598714, 9.34956473131971)"
4,0.4021872772602666,10,"[0.9393939393939394, 0.896, 0.7769230769230769, 0.8444444444444444]","(23.51247980915137, 17.80460446283974, 9.387251124837887)"
5,0.40040142298846715,15,"[0.7829457364341085, 0.8478260869565217, 0.8888888888888888, 0.9384615384615385]","(23.403084687471846, 17.81594572550517, 9.45233846626746)"
6,0.3956752078115858,20,"[0.8478260869565217, 0.78125, 0.8888888888888888, 0.9393939393939394]","(23.368861502849434, 17.820124664287412, 9.472287459205328)"
7,0.3956752078115858,30,"[0.78125, 0.8478260869565217, 0.9393939393939394, 0.8888888888888888]","(23.45284039827605, 17.805882551603624, 9.456001655052447)"
8,0.3956752078115858,50,"[0.8888888888888888, 0.78125, 0.8478260869565217, 0.9393939393939394]","(23.48797781388984, 17.788236124164634, 9.442889090671015)"
9,0.3956752078115858,80,"[0.8478260869565217, 0.9393939393939394, 0.8888888888888888, 0.78125]","(23.544392480593608, 17.82786618874302, 9.52059827868401)"
