,cv,num_pc,cluster_accuracy,cluster_distance
0,0.07928206627621262,1,"[0.9444444444444444, 0.9565217391304348, 0.7923497267759563, 0.8226600985221675]","(25.518635106361995, 16.10327485361113, 10.608119608904223)"
1,0.34812217273510515,2,"[0.9526315789473684, 0.8814229249011858, 0.7751196172248804, 0.9375]","(26.421860867906503, 18.43264883871934, 10.928870395491154)"
2,0.34066557257665026,3,"[0.9533678756476683, 0.876984126984127, 0.9390243902439024, 0.775609756097561]","(26.287625451612232, 18.446651584419975, 10.989785507099834)"
3,0.3582674691400219,5,"[0.875, 0.7815533980582524, 0.9481865284974094, 0.948051948051948]","(26.00352594463652, 18.529653736913154, 11.035235512838344)"
4,0.3693075516743872,10,"[0.935064935064935, 0.7824074074074074, 0.8807692307692307, 0.9553072625698324]","(26.359053237315596, 18.51750519566884, 10.97960019739746)"
5,0.36507885503853754,15,"[0.9456521739130435, 0.8725868725868726, 0.7877358490566038, 0.961038961038961]","(26.101573763615015, 18.617541102976563, 11.011628532218516)"
6,0.35937012125589907,20,"[0.8740157480314961, 0.780952380952381, 0.9605263157894737, 0.9479166666666666]","(25.99145534980283, 18.6537405758651, 11.080815250964122)"
7,0.36499705381523007,30,"[0.7788461538461539, 0.8754863813229572, 0.9479166666666666, 0.96]","(25.978063585510263, 18.66838137384788, 11.093762198560658)"
8,0.3653445825234269,50,"[0.9476439790575916, 0.8754863813229572, 0.7799043062200957, 0.96]","(25.95126505871554, 18.70241495392724, 11.097252585889438)"
9,0.3653445825234269,80,"[0.9476439790575916, 0.96, 0.7799043062200957, 0.8754863813229572]","(25.99369289383994, 18.681980717171975, 11.11398181890277)"
